,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Loewe score,Actuals,Proba
0,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000551,haematopoietic_and_lymphoid,-7.46165066285545,0.0,0.186236560344696
1,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.0720495914912,0.0,0.2321971803903579
2,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000551,haematopoietic_and_lymphoid,-1.63784119791688,0.0,0.2375664412975311
3,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.9071347651039,0.0,0.250230461359024
4,Vorinostat,ADM hydrochloride,DB02546,DB00445,ACH-000551,haematopoietic_and_lymphoid,-6.41525555891205,0.0,0.2338855415582656
5,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000551,haematopoietic_and_lymphoid,-0.0748006965739956,0.0,0.2509560286998749
6,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000817,haematopoietic_and_lymphoid,-5.21653554489635,0.0,0.2499745488166809
7,CYTARABINE HYDROCHLORIDE,ADM hydrochloride,DB00987,DB00445,ACH-000817,haematopoietic_and_lymphoid,-17.2494488826686,0.0,0.2376734912395477
8,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000817,haematopoietic_and_lymphoid,-41.712517014362,0.0,0.2291162610054016
9,7803-88-5,ADM hydrochloride,DB01280,DB00445,ACH-000817,haematopoietic_and_lymphoid,-6.91411823906026,0.0,0.1925152093172073
10,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000817,haematopoietic_and_lymphoid,-30.0527463170977,0.0,0.2128831297159195
11,122111-05-1,ADM hydrochloride,DB00441,DB00445,ACH-000232,brain,-17.8267017228445,0.0,0.1205083578824997
12,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000232,brain,-37.7784612560051,0.0,0.2267342358827591
13,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000681,lung,-12.7039093738155,0.0,0.2097731381654739
14,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000681,lung,-24.4714481698609,0.0,0.2086520940065384
15,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000019,breast,-5.53729822350158,0.0,0.1671129018068313
16,raloxifene,Vemurafenib,DB00481,DB08881,ACH-000019,breast,-2.70011506255825,0.0,0.167554497718811
17,celecoxib,ADM hydrochloride,DB00482,DB00445,ACH-000019,breast,-15.0263562771163,0.0,0.1878115236759185
18,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000019,breast,-0.544457877636764,0.0,0.2752856910228729
19,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000019,breast,-9.34966608909081,0.0,0.2572841048240661
20,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000019,breast,-17.17602827839,0.0,0.2074196934700012
21,docetaxel,ADM hydrochloride,DB01248,DB00445,ACH-000019,breast,-0.446038362077989,0.0,0.3286899030208587
22,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000019,breast,-13.0570657706716,0.0,0.2348601520061493
23,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000019,breast,-0.240932728126693,0.0,0.2983304858207702
24,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000090,prostate,-4.55823993772273,0.0,0.1892306208610534
25,5-Fluoro-2'-deoxyuridine,ADM hydrochloride,DB00322,DB00445,ACH-000090,prostate,-7.6352180980173,0.0,0.1799508333206176
