"","Drug2","Drug1","Drug2_ID","Drug1_ID","DepMap_ID","Tissue","Loewe.score","Actuals","Proba"
"1","Veliparib","Bortezomib","DB07232","DB00188","ACH-001061","large_intestine",-53.5105081649569,0,0.172992274165154
"2","7-Ethyl-10-hydroxycamptothecin","Bortezomib","DB05482","DB00188","ACH-000971","large_intestine",-4.17425926788612,0,0.127633884549141
"3","Veliparib","Bortezomib","DB07232","DB00188","ACH-000971","large_intestine",-49.9192398163469,0,0.176255822181702
"4","Dasatinib","Bortezomib","DB01254","DB00188","ACH-000463","lung",-8.60590542956073,0,0.272852659225464
"5","Deforolimus","Bortezomib","DB06233","DB00188","ACH-000463","lung",0.204996844654719,1,0.417339861392975
"6","Veliparib","Bortezomib","DB07232","DB00188","ACH-000463","lung",-69.4986871922369,0,0.209529802203178
"7","geldanamycin","Bortezomib","DB02424","DB00188","ACH-000001","ovary",-6.26559369433971,0,0.203892961144447
"8","Deforolimus","Bortezomib","DB06233","DB00188","ACH-000001","ovary",0.0162033137226992,1,0.381258279085159
"9","Sorafenib","Bortezomib","DB00398","DB00188","ACH-000097","breast",2.13882068337882,1,0.379788875579834
"10","geldanamycin","Bortezomib","DB02424","DB00188","ACH-000097","breast",-10.8900416584065,0,0.412585943937302
"11","topotecan","Bortezomib","DB01030","DB00188","ACH-000573","breast",-3.04640764670324,0,0.205241292715073
"12","Deforolimus","Bortezomib","DB06233","DB00188","ACH-000757","lung",-6.59646419713213,0,0.552427113056183
"13","topotecan","Bortezomib","DB01030","DB00188","ACH-000788","skin",-4.04976160589449,0,0.209801197052002
"14","Ruxolitinib","Bortezomib","DB08877","DB00188","ACH-000754","haematopoietic_and_lymphoid",-24.9971779500153,0,0.129724875092506
"15","Sorafenib","Bortezomib","DB00398","DB00188","ACH-000035","lung",-12.6808811260415,0,0.274533540010452
"16","topotecan","Bortezomib","DB01030","DB00188","ACH-000035","lung",-6.72954141514037,0,0.244421601295471
"17","Dasatinib","Bortezomib","DB01254","DB00188","ACH-000311","lung",-74.7158366328545,0,0.430048823356628
"18","geldanamycin","Bortezomib","DB02424","DB00188","ACH-000311","lung",-1.67701131865182,0,0.360046029090881
"19","Deforolimus","Bortezomib","DB06233","DB00188","ACH-000311","lung",7.02720969977887,1,0.514829814434052
"20","Sorafenib","Bortezomib","DB00398","DB00188","ACH-000395","lung",-9.29671654120847,0,0.221448093652725
"21","geldanamycin","Bortezomib","DB02424","DB00188","ACH-000028","breast",-9.21071002568763,0,0.416294157505035
"22","geldanamycin","Bortezomib","DB02424","DB00188","ACH-000115","prostate",-7.03009290124352,0,0.266115695238113
"23","Sorafenib","Bortezomib","DB00398","DB00188","ACH-000291","ovary",-6.00941925068811,0,0.314109712839127
"24","Vorinostat","Bortezomib","DB02546","DB00188","ACH-000304","skin",-29.4903299334591,0,0.222763434052467
"25","Vorinostat","Bortezomib","DB02546","DB00188","ACH-001190","skin",-17.1766288015428,0,0.20922315120697
"26","Vorinostat","Bortezomib","DB02546","DB00188","ACH-000915","skin",-42.1843928625219,0,0.202624082565308
"27","RAF265","Bortezomib","DB05984","DB00188","ACH-000008","skin",-5.50513765280521,0,0.307321637868881
"28","RAF265","Bortezomib","DB05984","DB00188","ACH-000788","skin",-1.44054735801285,0,0.338836371898651
"29","RAF265","Bortezomib","DB05984","DB00188","ACH-000425","skin",6.11502261374564,1,0.310684412717819
"30","RAF265","Bortezomib","DB05984","DB00188","ACH-000730","skin",-17.0363094375716,0,0.257580667734146
"31","Crizotinib","Bortezomib","DB08865","DB00188","ACH-000644","skin",13.7944860219347,1,0.209190383553505
"32","Crizotinib","Bortezomib","DB08865","DB00188","ACH-000614","skin",-45.5806515646037,0,0.267393529415131
"33","Crizotinib","Bortezomib","DB08865","DB00188","ACH-000750","skin",-20.9658087097123,0,0.19219534099102
"34","Crizotinib","Bortezomib","DB08865","DB00188","ACH-000730","skin",-34.731267133921,0,0.176938682794571
"35","001, RAD","Bortezomib","DB01590","DB00188","ACH-000968","skin",8.33718953507147,1,0.280027627944946
"36","001, RAD","Bortezomib","DB01590","DB00188","ACH-000579","skin",-12.0642649938472,0,0.272723317146301
"37","001, RAD","Bortezomib","DB01590","DB00188","ACH-000730","skin",-27.2590420488599,0,0.226511031389236
"38","001, RAD","Bortezomib","DB01590","DB00188","ACH-000987","skin",-6.72872754282106,0,0.293333232402802
"39","MK-1775","Bortezomib","DB11740","DB00188","ACH-000788","skin",-2.16043592847702,0,0.37977546453476
"40","MK-1775","Bortezomib","DB11740","DB00188","ACH-000730","skin",-26.1589342979243,0,0.29735466837883
"41","MK-1775","Bortezomib","DB11740","DB00188","ACH-000401","skin",-3.83956281037477,0,0.301296055316925
"42","Cediranib","Bortezomib","DB04849","DB00188","ACH-000968","skin",-8.4619787667798,0,0.24208302795887
"43","Cediranib","Bortezomib","DB04849","DB00188","ACH-000219","skin",10.9381222058351,1,0.358621954917908
"44","Cediranib","Bortezomib","DB04849","DB00188","ACH-000572","skin",28.9368909425428,1,0.332252502441406
"45","racemic-Tasocitinib","Bortezomib","DB08895","DB00188","ACH-000008","skin",2.50636485501329,1,0.209929540753365
"46","racemic-Tasocitinib","Bortezomib","DB08895","DB00188","ACH-000615","skin",-42.629416475208,0,0.202343583106995
"47","racemic-Tasocitinib","Bortezomib","DB08895","DB00188","ACH-000915","skin",-22.1599693522606,0,0.174355536699295
"48","dorsomorphin","Bortezomib","DB08597","DB00188","ACH-000425","skin",0.885965395035921,1,0.254722595214844
"49","dorsomorphin","Bortezomib","DB08597","DB00188","ACH-000644","skin",-8.35779414883884,0,0.215985223650932
"50","dorsomorphin","Bortezomib","DB08597","DB00188","ACH-000614","skin",-30.7444668253641,0,0.228392973542213
"51","dorsomorphin","Bortezomib","DB08597","DB00188","ACH-000579","skin",2.64908452945822,1,0.214370772242546
"52","dorsomorphin","Bortezomib","DB08597","DB00188","ACH-000730","skin",-24.0848544590753,0,0.184773236513138
"53","dorsomorphin","Bortezomib","DB08597","DB00188","ACH-000401","skin",19.5119430003515,1,0.213711872696876
"54","GW0742","Bortezomib","DB05416","DB00188","ACH-000968","skin",-26.2523584117464,0,0.229494154453278
"55","GW0742","Bortezomib","DB05416","DB00188","ACH-000425","skin",-9.32400714936795,0,0.234391808509827
"56","GW0742","Bortezomib","DB05416","DB00188","ACH-000644","skin",3.30268779277253,1,0.230487361550331
"57","GW9662","Bortezomib","DB07863","DB00188","ACH-000304","skin",-37.3751379711649,0,0.210944294929504
"58","GW9662","Bortezomib","DB07863","DB00188","ACH-000968","skin",-36.0643937691383,0,0.206277742981911
"59","GW9662","Bortezomib","DB07863","DB00188","ACH-000788","skin",0.640783584288828,1,0.273652046918869
"60","GW9662","Bortezomib","DB07863","DB00188","ACH-000644","skin",10.1614098134224,1,0.202617585659027
"61","GW9662","Bortezomib","DB07863","DB00188","ACH-000915","skin",-17.277071477315,0,0.184072360396385
"62","GW9662","Bortezomib","DB07863","DB00188","ACH-000401","skin",4.3960539223632,1,0.208757445216179
"63","Pioglitazone","Bortezomib","DB01132","DB00188","ACH-000425","skin",-15.7930750583357,0,0.210190564393997
"64","Pioglitazone","Bortezomib","DB01132","DB00188","ACH-000219","skin",27.0074700122993,1,0.323187083005905
"65","Pioglitazone","Bortezomib","DB01132","DB00188","ACH-000750","skin",12.3196157824384,1,0.185913056135178
"66","Pioglitazone","Bortezomib","DB01132","DB00188","ACH-000572","skin",36.635705523838,1,0.275581806898117
"67","SNS-314","Bortezomib","DB06134","DB00188","ACH-000730","skin",-30.7073856480338,0,0.223063662648201
"68","SNS-314","Bortezomib","DB06134","DB00188","ACH-000987","skin",-31.4439449774755,0,0.298269599676132
"69","su6656","Bortezomib","DB08039","DB00188","ACH-000614","skin",-22.4244620544018,0,0.271466493606567
"70","su6656","Bortezomib","DB08039","DB00188","ACH-000579","skin",-1.34609091031115,0,0.246415480971336
"71","T0901317","Bortezomib","DB07080","DB00188","ACH-000968","skin",-21.6683881726976,0,0.281813591718674
"72","T0901317","Bortezomib","DB07080","DB00188","ACH-000615","skin",-19.5443310919586,0,0.218653440475464
"73","T0901317","Bortezomib","DB07080","DB00188","ACH-000579","skin",-10.0517673817708,0,0.244055971503258
"74","T0901317","Bortezomib","DB07080","DB00188","ACH-000915","skin",-3.99108473303677,0,0.224757820367813
"75","TCS 401","Bortezomib","DB03670","DB00188","ACH-000219","skin",-12.5118571545959,0,0.348053455352783
"76","TCS 401","Bortezomib","DB03670","DB00188","ACH-000644","skin",-34.2750748198399,0,0.236860126256943
"77","TCS 401","Bortezomib","DB03670","DB00188","ACH-000750","skin",0.903611233653089,1,0.221559643745422
"78","Tipifarnib","Bortezomib","DB04960","DB00188","ACH-000788","skin",-10.0739680047545,0,0.427106499671936
"79","Tipifarnib","Bortezomib","DB04960","DB00188","ACH-000572","skin",14.4046338126136,1,0.372630745172501
"80","Dasatinib","Bortezomib","DB01254","DB00188","ACH-000304","skin",-23.2819987332057,0,0.22453336417675
"81","Dasatinib","Bortezomib","DB01254","DB00188","ACH-000008","skin",1.08365118511017,1,0.250990629196167
"82","Dasatinib","Bortezomib","DB01254","DB00188","ACH-001190","skin",-24.7893844553097,0,0.278361767530441
