,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Loewe score,Actuals,Proba
0,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000551,haematopoietic_and_lymphoid,-7.46165066285545,0.0,0.1122740656137466
1,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.0720495914912,0.0,0.1353494524955749
2,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000551,haematopoietic_and_lymphoid,-1.63784119791688,0.0,0.1963478773832321
3,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.9071347651039,0.0,0.1513533890247345
4,Vorinostat,ADM hydrochloride,DB02546,DB00445,ACH-000551,haematopoietic_and_lymphoid,-6.41525555891205,0.0,0.1202671155333519
5,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000551,haematopoietic_and_lymphoid,-0.0748006965739956,0.0,0.1480116844177246
6,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000817,haematopoietic_and_lymphoid,-5.21653554489635,0.0,0.1708345562219619
7,CYTARABINE HYDROCHLORIDE,ADM hydrochloride,DB00987,DB00445,ACH-000817,haematopoietic_and_lymphoid,-17.2494488826686,0.0,0.1151119917631149
8,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000817,haematopoietic_and_lymphoid,-41.712517014362,0.0,0.1318294554948806
9,7803-88-5,ADM hydrochloride,DB01280,DB00445,ACH-000817,haematopoietic_and_lymphoid,-6.91411823906026,0.0,0.1525933444499969
10,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000817,haematopoietic_and_lymphoid,-30.0527463170977,0.0,0.1279633045196533
11,122111-05-1,ADM hydrochloride,DB00441,DB00445,ACH-000232,brain,-17.8267017228445,0.0,0.1469818949699401
12,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000232,brain,-37.7784612560051,0.0,0.2661144137382507
13,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000681,lung,-12.7039093738155,0.0,0.2477696985006332
