"","Drug1","Drug2","Drug1_ID","Drug2_ID","DepMap_ID","Tissue","Loewe.score","Actuals","Proba"
"1","Tamoxifen citrate","CHEMBL17639","DB00675","DB00242","ACH-000971","large_intestine",-18.7848864804273,0,0.231358483433723
"2","Tamoxifen citrate","CHEMBL17639","DB00675","DB00242","ACH-000425","skin",-22.5480673048279,0,0.253184258937836
"3","Tamoxifen citrate","CHEMBL17639","DB00675","DB00242","ACH-000273","brain",-9.62577756048874,0,0.160677462816238
"4","Tamoxifen citrate","CHEMBL17639","DB00675","DB00242","ACH-000966","ovary",-0.824090344650629,0,0.183399885892868
"5","Tamoxifen citrate","CHEMBL17639","DB00675","DB00242","ACH-000750","skin",-35.6868636925493,0,0.137827426195145
"6","Tamoxifen citrate","CHEMBL17639","DB00675","DB00242","ACH-000706","lung",-1.49346270149227,0,0.243895724415779
"7","Tamoxifen citrate","CHEMBL17639","DB00675","DB00242","ACH-000090","prostate",-2.46066977182398,0,0.243104428052902
"8","Azacytidine, 5-","CHEMBL17639","DB00928","DB00242","ACH-000811","ovary",-5.21062177580507,0,0.191536396741867
"9","Azacytidine, 5-","CHEMBL17639","DB00928","DB00242","ACH-000651","large_intestine",-2.06990910400684,0,0.285636812448502
"10","Azacytidine, 5-","CHEMBL17639","DB00928","DB00242","ACH-000615","skin",-8.65962972692907,0,0.202212661504745
"11","Azacytidine, 5-","CHEMBL17639","DB00928","DB00242","ACH-000343","lung",-2.93869425012733,0,0.125822886824608
"12","Azacytidine, 5-","CHEMBL17639","DB00928","DB00242","ACH-000148","breast",1.34666972798152,1,0.220467865467072
"13","Azacytidine, 5-","CHEMBL17639","DB00928","DB00242","ACH-000147","breast",3.49859540962571,1,0.29406613111496
"14","Azacytidine, 5-","CHEMBL17639","DB00928","DB00242","ACH-000428","kidney",-4.99009611046795,0,0.276397794485092
"15","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000463","lung",-8.49053719480602,0,0.192368149757385
"16","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000288","breast",-10.9550457560428,0,0.111777663230896
"17","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000551","haematopoietic_and_lymphoid",-14.8748828406108,0,0.195008784532547
"18","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000579","skin",-7.10892483968428,0,0.111929014325142
"19","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000367","lung",-0.876806211637918,0,0.125144615769386
"20","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000617","ovary",-13.4035596279305,0,0.0892826542258262
"21","Sunitinib","CHEMBL17639","DB01268","DB00242","ACH-000090","prostate",-1.42476105360356,0,0.21513806283474
"22","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000811","ovary",1.31268956795057,1,0.135316699743271
"23","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000376","brain",-6.62764742966959,0,0.126943692564964
"24","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000615","skin",-1.15557134753253,0,0.131420329213142
"25","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000649","kidney",-3.20422760950134,0,0.118164829909801
"26","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000966","ovary",0.983105649306696,1,0.181172385811806
"27","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000579","skin",-2.94741667903015,0,0.13498343527317
"28","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000555","kidney",-1.19342791827564,0,0.14093042910099
"29","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000617","ovary",-0.760791278009474,0,0.116623371839523
"30","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000696","ovary",-0.565519831768117,0,0.124983370304108
"31","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000019","breast",-7.35759121264333,0,0.16855388879776
"32","Vorinostat","CHEMBL17639","DB02546","DB00242","ACH-000706","lung",-8.98499263074566,0,0.210401237010956
"33","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-000811","ovary",-26.9011903338247,0,0.217108532786369
"34","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-000425","skin",-10.2251622212013,0,0.238900557160378
"35","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-000273","brain",-13.3786726246704,0,0.218551427125931
"36","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-001151","ovary",-8.42755319240158,0,0.25038668513298
"37","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-000817","haematopoietic_and_lymphoid",-5.60437473239482,0,0.241680204868317
"38","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-000147","breast",-2.53674957637572,0,0.319202542304993
"39","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-000696","ovary",-10.7389997354103,0,0.212980836629867
"40","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-000019","breast",-19.199643575853,0,0.225585445761681
"41","Pralatrexate","CHEMBL17639","DB06813","DB00242","ACH-000969","large_intestine",-7.68807482586146,0,0.235706105828285
"42","CYTARABINE HYDROCHLORIDE","CHEMBL17639","DB00987","DB00242","ACH-000900","lung",-2.49787044859902,0,0.119736105203628
"43","CYTARABINE HYDROCHLORIDE","CHEMBL17639","DB00987","DB00242","ACH-000288","breast",-7.67551376379721,0,0.10674250125885
"44","CYTARABINE HYDROCHLORIDE","CHEMBL17639","DB00987","DB00242","ACH-000649","kidney",-5.7822034708028,0,0.108607366681099
"45","CYTARABINE HYDROCHLORIDE","CHEMBL17639","DB00987","DB00242","ACH-000579","skin",-5.0774365289716,0,0.136954873800278
"46","CYTARABINE HYDROCHLORIDE","CHEMBL17639","DB00987","DB00242","ACH-000232","brain",5.55619766266145,1,0.118438065052032
"47","CYTARABINE HYDROCHLORIDE","CHEMBL17639","DB00987","DB00242","ACH-000019","breast",0.925932266188207,1,0.175549849867821
"48","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000288","breast",-28.6871794387168,0,0.147719159722328
"49","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000615","skin",-44.9012261200041,0,0.12385081499815
"50","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000825","lung",-34.4292591547806,0,0.198879212141037
"51","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000551","haematopoietic_and_lymphoid",-38.2039429697416,0,0.239039570093155
"52","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000090","prostate",-15.6571015415744,0,0.250028252601623
"53","hydroxyurea","CHEMBL17639","DB01005","DB00242","ACH-000428","kidney",-25.9155754742816,0,0.205350115895271
"54","7803-88-5","CHEMBL17639","DB01280","DB00242","ACH-000651","large_intestine",-4.98263528366266,0,0.185211032629013
"55","7803-88-5","CHEMBL17639","DB01280","DB00242","ACH-000046","kidney",-47.7091036325251,0,0.117125824093819
"56","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000343","lung",-6.43346860453018,0,0.103014178574085
"57","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000825","lung",-12.8538603292868,0,0.197878032922745
"58","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000552","large_intestine",4.07630827794543,1,0.31035178899765
"59","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000579","skin",-5.62604150735525,0,0.148570507764816
"60","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000750","skin",-13.8059692731582,0,0.127058446407318
"61","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000817","haematopoietic_and_lymphoid",-15.057604724067,0,0.245716616511345
"62","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000367","lung",-0.819389251645743,0,0.136214047670364
"63","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000768","breast",-16.5445699782075,0,0.125895440578461
"64","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000019","breast",0.212763442219581,1,0.113474026322365
"65","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000997","large_intestine",-3.60221377224117,0,0.153652772307396
"66","Nilotinib","CHEMBL17639","DB04868","DB00242","ACH-000090","prostate",-5.90247769006843,0,0.201467245817184
"67","122111-05-1","CHEMBL17639","DB00441","DB00242","ACH-000861","lung",-23.2725446778099,0,0.111340820789337
"68","122111-05-1","CHEMBL17639","DB00441","DB00242","ACH-000428","kidney",-1.18879287920672,0,0.184240192174911
"69","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000811","ovary",-0.611753569282114,0,0.136167287826538
"70","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000477","skin",-7.09205844173367,0,0.143018081784248
"71","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000825","lung",-17.5717817250751,0,0.137950852513313
"72","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000551","haematopoietic_and_lymphoid",-3.55093446144034,0,0.198213621973991
"73","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000367","lung",-10.1416693943929,0,0.112416096031666
"74","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000148","breast",-2.59846681212216,0,0.155870005488396
"75","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000555","kidney",-1.58522101874163,0,0.138561174273491
"76","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000617","ovary",-8.47580799313234,0,0.0866576731204986
"77","raloxifene","CHEMBL17639","DB00481","DB00242","ACH-000147","breast",-1.85033797620442,0,0.244501680135727
"78","celecoxib","CHEMBL17639","DB00482","DB00242","ACH-000555","kidney",-2.00307141982476,0,0.141235902905464
"79","celecoxib","CHEMBL17639","DB00482","DB00242","ACH-000232","brain",-14.3817564519495,0,0.139908328652382
