,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Actuals,Proba
0,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000491,Colon,1,0.409599483
1,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000196,Breast,0,0.707705915
2,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000857,Breast,1,0.808014393
3,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000998,Colon,0,0.674141467
4,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000258,Breast,1,0.752087235
5,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000019,Breast,0,0.646099448
6,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000352,Breast,1,0.526671529
7,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000927,Breast,0,0.565428078
8,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000148,Breast,1,0.65762347
9,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000643,Breast,1,0.814783454
10,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000935,Colon,0,0.740068495
11,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000859,Breast,0,0.747401178
12,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000117,Breast,0,0.562598109
13,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000876,Breast,0,0.352283895
14,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000963,Colon,0,0.715873539
15,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000381,Colon,0,0.800230145
16,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000856,Breast,1,0.555851758
17,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000147,Breast,1,0.591859877
18,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000223,Breast,1,0.697211266
19,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000955,Colon,0,0.672165453
20,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000554,Breast,0,0.574628949
21,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000651,Colon,1,0.615271866
22,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000849,Breast,1,0.629949272
23,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000969,Colon,0,0.426252663
24,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000621,Breast,0,0.879253924
25,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000910,Breast,1,0.785046041
26,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000999,Colon,0,0.349487871
27,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000400,Colon,0,0.719296336
28,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000668,Breast,0,0.665522516
29,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000470,Colon,0,0.580043316
30,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000421,Colon,1,0.819661438
31,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000934,Breast,1,0.544830322
32,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000252,Colon,0,0.743245244
33,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000360,Colon,0,0.697856843
34,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000926,Colon,0,0.707478285
35,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000970,Colon,0,0.440179229
36,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000403,Colon,0,0.538668275
37,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000565,Colon,0,0.773655534
38,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000943,Colon,0,0.734541237
39,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000902,Breast,0,0.627771974
40,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000501,Colon,0,0.640319645
41,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000350,Colon,0,0.684536278
42,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000699,Breast,0,0.847268164
43,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000997,Colon,0,0.487915546
44,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000950,Colon,0,0.825868785
45,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000783,Breast,1,0.646681368
46,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000374,Breast,0,0.681800604
47,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000624,Breast,1,0.825401008
48,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000818,Breast,0,0.385644674
49,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000971,Colon,1,0.509045064
50,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000573,Breast,0,0.821872115
51,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000711,Breast,1,0.448376805
52,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000768,Breast,1,0.714009047
53,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000277,Breast,0,0.278695852
54,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000111,Breast,0,0.696479201
55,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000349,Breast,1,0.37884596
56,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000957,Colon,0,0.4937132
57,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000722,Colon,0,0.78214103
58,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000828,Breast,0,0.424050629
59,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000009,Colon,0,0.843456268
60,Navitoclax,Camptothecin,DB12340,DB04690,ACH-001819,Breast,0,0.646458685
61,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000755,Breast,0,0.632007301
62,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000288,Breast,0,0.627995312
63,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000989,Colon,0,0.428104222
64,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000985,Colon,1,0.5236215
65,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000236,Colon,0,0.655032337
66,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000552,Colon,1,0.628702044
67,Navitoclax,Camptothecin,DB12340,DB04690,ACH-001820,Breast,1,0.382880092
68,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000958,Colon,0,0.86350739
69,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000212,Breast,1,0.561708212
70,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000276,Breast,1,0.857959926
71,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000991,Colon,0,0.641087413
72,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000007,Colon,1,0.636004031
73,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000249,Colon,1,0.808534503
74,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000248,Breast,0,0.808047295
75,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000986,Colon,0,0.741569459
76,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000536,Breast,0,0.831879675
77,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000930,Breast,0,0.655966163
78,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000680,Colon,0,0.690096915
79,Navitoclax,Camptothecin,DB12340,DB04690,ACH-001345,Colon,0,0.425749451
80,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000330,Breast,1,0.511001587
81,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000491,Colon,0,0.125833556
82,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000998,Colon,0,0.357375681
83,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000935,Colon,0,0.457500786
84,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000963,Colon,0,0.339312494
85,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000381,Colon,0,0.534848094
86,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000955,Colon,0,0.352874786
87,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000651,Colon,0,0.203963354
88,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000969,Colon,0,0.148083627
89,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000999,Colon,0,0.088889048
90,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000400,Colon,0,0.448492885
91,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000470,Colon,0,0.206524596
92,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000421,Colon,0,0.630123079
93,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000252,Colon,0,0.473489434
94,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000360,Colon,0,0.397399008
95,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000926,Colon,0,0.425594032
96,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000970,Colon,0,0.129255295
97,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000403,Colon,0,0.140609711
98,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000565,Colon,0,0.513897836
99,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000943,Colon,0,0.397078335
100,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000501,Colon,0,0.318439156
101,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000350,Colon,0,0.475103408
102,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000997,Colon,0,0.110874727
103,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000950,Colon,0,0.607874632
104,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000971,Colon,0,0.134189695
105,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000957,Colon,0,0.302801877
106,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000722,Colon,0,0.570873082
107,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000009,Colon,0,0.478774935
108,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000989,Colon,0,0.115474083
109,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000985,Colon,0,0.182477534
110,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000236,Colon,0,0.266374558
111,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000552,Colon,0,0.276985794
112,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000958,Colon,0,0.695151567
113,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000991,Colon,0,0.326580793
114,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000007,Colon,0,0.312327355
115,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000249,Colon,0,0.49917531
116,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000986,Colon,0,0.422510594
117,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000680,Colon,0,0.27087605
118,BMS-754807,Camptothecin,DB15399,DB04690,ACH-001345,Colon,0,0.134029225
119,Trametinib,Camptothecin,DB08911,DB04690,ACH-000491,Colon,0,0.117363252
120,Trametinib,Camptothecin,DB08911,DB04690,ACH-000196,Breast,0,0.387700886
121,Trametinib,Camptothecin,DB08911,DB04690,ACH-000857,Breast,0,0.513885081
122,Trametinib,Camptothecin,DB08911,DB04690,ACH-000998,Colon,0,0.266988605
