,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Loewe score,Actuals,Proba
0,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000551,haematopoietic_and_lymphoid,-7.46165066285545,0.0,0.2295763045549392
1,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.0720495914912,0.0,0.2884007692337036
2,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000551,haematopoietic_and_lymphoid,-1.63784119791688,0.0,0.2685066759586334
3,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.9071347651039,0.0,0.2726955115795135
4,Vorinostat,ADM hydrochloride,DB02546,DB00445,ACH-000551,haematopoietic_and_lymphoid,-6.41525555891205,0.0,0.2765649855136871
5,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000551,haematopoietic_and_lymphoid,-0.0748006965739956,0.0,0.2684502601623535
6,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000817,haematopoietic_and_lymphoid,-5.21653554489635,0.0,0.2590071558952331
7,CYTARABINE HYDROCHLORIDE,ADM hydrochloride,DB00987,DB00445,ACH-000817,haematopoietic_and_lymphoid,-17.2494488826686,0.0,0.2368498891592025
8,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000817,haematopoietic_and_lymphoid,-41.712517014362,0.0,0.2559337615966797
9,7803-88-5,ADM hydrochloride,DB01280,DB00445,ACH-000817,haematopoietic_and_lymphoid,-6.91411823906026,0.0,0.222610130906105
10,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000817,haematopoietic_and_lymphoid,-30.0527463170977,0.0,0.2693490087985992
11,122111-05-1,ADM hydrochloride,DB00441,DB00445,ACH-000232,brain,-17.8267017228445,0.0,0.2358527779579162
12,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000232,brain,-37.7784612560051,0.0,0.3018639683723449
13,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000681,lung,-12.7039093738155,0.0,0.3154178261756897
14,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000681,lung,-24.4714481698609,0.0,0.2591545879840851
15,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000019,breast,-5.53729822350158,0.0,0.2101764976978302
16,raloxifene,Vemurafenib,DB00481,DB08881,ACH-000019,breast,-2.70011506255825,0.0,0.3055630326271057
17,celecoxib,ADM hydrochloride,DB00482,DB00445,ACH-000019,breast,-15.0263562771163,0.0,0.2418909817934036
18,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000019,breast,-0.544457877636764,0.0,0.2646351456642151
19,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000019,breast,-9.34966608909081,0.0,0.2472298890352249
20,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000019,breast,-17.17602827839,0.0,0.2608057260513305
21,docetaxel,ADM hydrochloride,DB01248,DB00445,ACH-000019,breast,-0.446038362077989,0.0,0.3017931878566742
22,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000019,breast,-13.0570657706716,0.0,0.2513345777988434
23,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000019,breast,-0.240932728126693,0.0,0.2660664319992065
24,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000090,prostate,-4.55823993772273,0.0,0.2448486238718032
25,5-Fluoro-2'-deoxyuridine,ADM hydrochloride,DB00322,DB00445,ACH-000090,prostate,-7.6352180980173,0.0,0.2693638205528259
26,ADM hydrochloride,NSC256439,DB00445,DB01177,ACH-000090,prostate,-2.06834634162605,0.0,0.2988601326942444
27,Retinoic acid,ADM hydrochloride,DB00523,DB00445,ACH-000090,prostate,-10.8641066211098,0.0,0.2948677539825439
28,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000090,prostate,-6.63491507096486,0.0,0.3252185881137848
29,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000090,prostate,-2.39580270307869,0.0,0.2925575673580169
30,docetaxel,ADM hydrochloride,DB01248,DB00445,ACH-000090,prostate,-2.7157572388355,0.0,0.3113983571529388
31,Dasatinib,ADM hydrochloride,DB01254,DB00445,ACH-000090,prostate,2.10446814163919,1.0,0.3679769933223724
32,Dasatinib,Vemurafenib,DB01254,DB08881,ACH-000304,skin,22.62259248,1.0,0.3847022950649261
33,Belinostat,Vemurafenib,DB05015,DB08881,ACH-000304,skin,20.96423708,1.0,0.3258788883686065
34,Zoledronic acid,ADM hydrochloride,DB00399,DB00445,ACH-000768,breast,-8.48494051959853,0.0,0.2914056777954101
