,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Loewe score,Actuals,Proba
0,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000551,haematopoietic_and_lymphoid,-7.46165066285545,0.0,0.0848162099719047
1,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.0720495914912,0.0,0.1266905218362808
2,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000551,haematopoietic_and_lymphoid,-1.63784119791688,0.0,0.1325095444917678
3,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.9071347651039,0.0,0.1121591478586196
4,Vorinostat,ADM hydrochloride,DB02546,DB00445,ACH-000551,haematopoietic_and_lymphoid,-6.41525555891205,0.0,0.1457454115152359
5,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000551,haematopoietic_and_lymphoid,-0.0748006965739956,0.0,0.2792747318744659
6,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000817,haematopoietic_and_lymphoid,-5.21653554489635,0.0,0.1772719770669937
7,CYTARABINE HYDROCHLORIDE,ADM hydrochloride,DB00987,DB00445,ACH-000817,haematopoietic_and_lymphoid,-17.2494488826686,0.0,0.2031520903110504
8,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000817,haematopoietic_and_lymphoid,-41.712517014362,0.0,0.1279001981019973
9,7803-88-5,ADM hydrochloride,DB01280,DB00445,ACH-000817,haematopoietic_and_lymphoid,-6.91411823906026,0.0,0.089189276099205
10,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000817,haematopoietic_and_lymphoid,-30.0527463170977,0.0,0.1298667788505554
11,122111-05-1,ADM hydrochloride,DB00441,DB00445,ACH-000232,brain,-17.8267017228445,0.0,0.1447817385196685
12,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000232,brain,-37.7784612560051,0.0,0.1531065851449966
13,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000681,lung,-12.7039093738155,0.0,0.1290836334228515
14,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000681,lung,-24.4714481698609,0.0,0.1910899877548217
15,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000019,breast,-5.53729822350158,0.0,0.0581658668816089
16,raloxifene,Vemurafenib,DB00481,DB08881,ACH-000019,breast,-2.70011506255825,0.0,0.323302686214447
17,celecoxib,ADM hydrochloride,DB00482,DB00445,ACH-000019,breast,-15.0263562771163,0.0,0.099374882876873
18,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000019,breast,-0.544457877636764,0.0,0.1382015794515609
19,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000019,breast,-9.34966608909081,0.0,0.0407453849911689
20,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000019,breast,-17.17602827839,0.0,0.0637190639972686
21,docetaxel,ADM hydrochloride,DB01248,DB00445,ACH-000019,breast,-0.446038362077989,0.0,0.4044467806816101
22,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000019,breast,-13.0570657706716,0.0,0.0628741756081581
23,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000019,breast,-0.240932728126693,0.0,0.3005092144012451
24,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000090,prostate,-4.55823993772273,0.0,0.0760406330227851
25,5-Fluoro-2'-deoxyuridine,ADM hydrochloride,DB00322,DB00445,ACH-000090,prostate,-7.6352180980173,0.0,0.1591297686100006
26,ADM hydrochloride,NSC256439,DB00445,DB01177,ACH-000090,prostate,-2.06834634162605,0.0,0.3381008505821228
27,Retinoic acid,ADM hydrochloride,DB00523,DB00445,ACH-000090,prostate,-10.8641066211098,0.0,0.1958838552236557
28,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000090,prostate,-6.63491507096486,0.0,0.1400932520627975
29,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000090,prostate,-2.39580270307869,0.0,0.0858402848243713
30,docetaxel,ADM hydrochloride,DB01248,DB00445,ACH-000090,prostate,-2.7157572388355,0.0,0.5627046823501587
31,Dasatinib,ADM hydrochloride,DB01254,DB00445,ACH-000090,prostate,2.10446814163919,1.0,0.6203701496124268
32,Dasatinib,Vemurafenib,DB01254,DB08881,ACH-000304,skin,22.62259248,1.0,0.2624123394489288
33,Belinostat,Vemurafenib,DB05015,DB08881,ACH-000304,skin,20.96423708,1.0,0.2169376611709594
34,Zoledronic acid,ADM hydrochloride,DB00399,DB00445,ACH-000768,breast,-8.48494051959853,0.0,0.0759319588541984
35,122111-05-1,ADM hydrochloride,DB00441,DB00445,ACH-000768,breast,-3.47973532663533,0.0,0.0992635041475296
36,celecoxib,ADM hydrochloride,DB00482,DB00445,ACH-000768,breast,-38.0148314307158,0.0,0.0942849218845367
37,Retinoic acid,ADM hydrochloride,DB00523,DB00445,ACH-000768,breast,-29.9842966977193,0.0,0.1800005286931991
38,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000768,breast,-15.5336706556833,0.0,0.0818845108151435
39,Romidepsin,ADM hydrochloride,DB06176,DB00445,ACH-000768,breast,-0.687108032255257,0.0,0.1617483347654342
40,Sorafenib,NSC-127716,DB00398,DB01262,ACH-001190,skin,9.39490856951479,1.0,0.4151618182659149
41,NSC733504,ADM hydrochloride,DB01590,DB00445,ACH-001190,skin,1.26648772665175,1.0,0.6848063468933105
42,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-001190,skin,-4.63435629411055,0.0,0.154340386390686
43,Pazopanib hydrochloride,Lenalidomide,DB06589,DB00480,ACH-001190,skin,-4.03825576006386,0.0,0.4115510880947113
44,Crizotinib,Lenalidomide,DB08865,DB00480,ACH-001190,skin,-1.48135594377614,0.0,0.2914009392261505
45,Crizotinib,Erlotinib hydrochloride,DB08865,DB00530,ACH-001190,skin,0.333242478822768,1.0,0.5965356230735779
46,Ruxolitinib,Sorafenib,DB08877,DB00398,ACH-001190,skin,-19.8608418389896,0.0,0.05176767334342
47,Ruxolitinib,Erlotinib hydrochloride,DB08877,DB00530,ACH-001190,skin,4.2017355400046,1.0,0.5406987071037292
48,Ruxolitinib,Vepesid J,DB08877,DB00773,ACH-001190,skin,-14.5266776306322,0.0,0.0780083462595939
49,Ruxolitinib,Nilotinib,DB08877,DB04868,ACH-001190,skin,1.12680083555095,1.0,0.2714472413063049
50,Ruxolitinib,Vismodegib,DB08877,DB08828,ACH-001190,skin,-0.661560526326286,0.0,0.3556051850318908
51,vinorelbine,Deforolimus,DB00361,DB06233,ACH-000219,skin,-7.29643626028798,0.0,0.8876999020576477
52,vinorelbine,Veliparib,DB00361,DB07232,ACH-000219,skin,-37.7850091419346,0.0,0.1558970212936401
53,dexamethasone,Sorafenib,DB00443,DB00398,ACH-000219,skin,-5.27207157251066,0.0,0.2029431909322738
54,doxorubicin,Veliparib,DB00445,DB07232,ACH-000219,skin,-31.5086376318759,0.0,0.3938870728015899
55,doxorubicin,Niraparib,DB00445,DB11793,ACH-000219,skin,-6.62194129045384,0.0,0.4229037165641784
56,cyclophosphamide,Sorafenib,DB00531,DB00398,ACH-000219,skin,-2.81863407251066,0.0,0.2144996374845504
57,cyclophosphamide,Dasatinib,DB00531,DB01254,ACH-000219,skin,-41.839378348061,0.0,0.0240331944078207
58,5-Fluorouracil,Veliparib,DB00544,DB07232,ACH-000219,skin,-26.97861655761,0.0,0.2356391847133636
59,methotrexate,Niraparib,DB00563,DB11793,ACH-000219,skin,-2.14654902712458,0.0,0.1727464646100998
60,vinblastine,Bortezomib,DB00570,DB00188,ACH-000219,skin,-4.83217996081594,0.0,0.3469264507293701
61,vinblastine,Erlotinib,DB00570,DB00530,ACH-000219,skin,5.50065127690758,1.0,0.4900166094303131
62,vinblastine,Lapatinib,DB00570,DB01259,ACH-000219,skin,-25.6245188837939,0.0,0.3522562086582184
63,vinblastine,Vorinostat,DB00570,DB02546,ACH-000219,skin,-5.27557112663266,0.0,0.3384014964103699
64,vinblastine,Niraparib,DB00570,DB11793,ACH-000219,skin,-1.0703094629966,0.0,0.3886853754520416
65,etoposide,Erlotinib,DB00773,DB00530,ACH-000219,skin,5.86903763353565,1.0,0.613383412361145
66,etoposide,Sunitinib,DB00773,DB01268,ACH-000219,skin,0.0422661389254384,1.0,0.4613630473613739
67,etoposide,MK-1775,DB00773,DB11740,ACH-000219,skin,5.57161298086044,1.0,0.6948068141937256
68,paclitaxel,Bortezomib,DB01229,DB00188,ACH-000219,skin,-2.43081059083647,0.0,0.463531881570816
69,paclitaxel,Deforolimus,DB01229,DB06233,ACH-000219,skin,-7.94437730498905,0.0,0.8738319277763367
70,paclitaxel,Veliparib,DB01229,DB07232,ACH-000219,skin,-47.3785897683095,0.0,0.2816787660121918
71,Dasatinib,Sorafenib,DB01254,DB00398,ACH-000219,skin,12.5907970543929,1.0,0.4808868169784546
72,Dasatinib,geldanamycin,DB01254,DB02424,ACH-000219,skin,10.3573402047012,1.0,0.7141885757446289
73,geldanamycin,Sorafenib,DB02424,DB00398,ACH-000219,skin,2.87384644993142,1.0,0.6583904027938843
74,Vorinostat,Sorafenib,DB02546,DB00398,ACH-000219,skin,3.90630274053106,1.0,0.4473999738693237
75,Vorinostat,Lapatinib,DB02546,DB01259,ACH-000219,skin,-10.2978073047839,0.0,0.4561279416084289
76,7-Ethyl-10-hydroxycamptothecin,Sorafenib,DB05482,DB00398,ACH-000219,skin,8.82451745401867,1.0,0.4192028939723968
77,391210-10-9,Deforolimus,DB07101,DB06233,ACH-000219,skin,-0.229697467291622,0.0,0.9345616698265076
78,L-778123 free base,Sunitinib,DB07227,DB01268,ACH-000219,skin,11.8520903840552,1.0,0.5899152755737305
79,L-778123 free base,Vorinostat,DB07227,DB02546,ACH-000219,skin,-2.13991198802256,0.0,0.6876257658004761
80,L-778123 free base,391210-10-9,DB07227,DB07101,ACH-000219,skin,3.46161822034006,1.0,0.8229557871818542
81,Veliparib,geldanamycin,DB07232,DB02424,ACH-000219,skin,-41.5405934218876,0.0,0.2458083182573318
82,MK-1775,Erlotinib,DB11740,DB00530,ACH-000219,skin,1.19278241616613,1.0,0.669946551322937
83,MK-1775,geldanamycin,DB11740,DB02424,ACH-000219,skin,11.3529071706713,1.0,0.7567970156669617
84,MK-1775,Veliparib,DB11740,DB07232,ACH-000219,skin,-42.6365657759816,0.0,0.2601323127746582
85,Niraparib,Bortezomib,DB11793,DB00188,ACH-000219,skin,-20.7203251033385,0.0,0.5120795369148254
86,Niraparib,geldanamycin,DB11793,DB02424,ACH-000219,skin,-5.57233081986393,0.0,0.7155851125717163
87,vinorelbine,391210-10-9,DB00361,DB07101,ACH-000657,ovary,1.2572413001519,1.0,0.6013864874839783
88,gemcitabine,Sunitinib,DB00441,DB01268,ACH-000657,ovary,1.43396694271164,1.0,0.1493854820728302
89,gemcitabine,Veliparib,DB00441,DB07232,ACH-000657,ovary,-7.93718424388686,0.0,0.0334911532700061
90,gemcitabine,MK-1775,DB00441,DB11740,ACH-000657,ovary,6.53674256197334,1.0,0.4612571597099304
91,dexamethasone,MK-1775,DB00443,DB11740,ACH-000657,ovary,-58.6159278642065,0.0,0.0727435797452926
92,doxorubicin,Bortezomib,DB00445,DB00188,ACH-000657,ovary,6.29128205357835,1.0,0.5826805830001831
93,doxorubicin,391210-10-9,DB00445,DB07101,ACH-000657,ovary,6.64424165501827,1.0,0.8174703121185303
94,cyclophosphamide,Sunitinib,DB00531,DB01268,ACH-000657,ovary,-20.1206722274866,0.0,0.0071991262957453
