,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Loewe score,Actuals,Proba
0,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000551,haematopoietic_and_lymphoid,-7.46165066285545,0.0,0.1054251492023468
1,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.0720495914912,0.0,0.114691749215126
2,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000551,haematopoietic_and_lymphoid,-1.63784119791688,0.0,0.2783266901969909
3,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000551,haematopoietic_and_lymphoid,-21.9071347651039,0.0,0.0846982821822166
4,Vorinostat,ADM hydrochloride,DB02546,DB00445,ACH-000551,haematopoietic_and_lymphoid,-6.41525555891205,0.0,0.0257905349135398
5,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000551,haematopoietic_and_lymphoid,-0.0748006965739956,0.0,0.0612020902335643
6,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000817,haematopoietic_and_lymphoid,-5.21653554489635,0.0,0.2142332047224044
7,CYTARABINE HYDROCHLORIDE,ADM hydrochloride,DB00987,DB00445,ACH-000817,haematopoietic_and_lymphoid,-17.2494488826686,0.0,0.0601113885641098
8,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000817,haematopoietic_and_lymphoid,-41.712517014362,0.0,0.0131654068827629
9,7803-88-5,ADM hydrochloride,DB01280,DB00445,ACH-000817,haematopoietic_and_lymphoid,-6.91411823906026,0.0,0.1705343872308731
10,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000817,haematopoietic_and_lymphoid,-30.0527463170977,0.0,0.0686918869614601
11,122111-05-1,ADM hydrochloride,DB00441,DB00445,ACH-000232,brain,-17.8267017228445,0.0,0.0096740946173667
12,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000232,brain,-37.7784612560051,0.0,0.0516529530286788
13,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000681,lung,-12.7039093738155,0.0,0.0127486502751708
14,Sunitinib,ADM hydrochloride,DB01268,DB00445,ACH-000681,lung,-24.4714481698609,0.0,0.0416687540709972
15,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000019,breast,-5.53729822350158,0.0,0.0684631466865539
16,raloxifene,Vemurafenib,DB00481,DB08881,ACH-000019,breast,-2.70011506255825,0.0,0.2847756445407867
17,celecoxib,ADM hydrochloride,DB00482,DB00445,ACH-000019,breast,-15.0263562771163,0.0,0.0749462395906448
18,"Azacytidine, 5-",ADM hydrochloride,DB00928,DB00445,ACH-000019,breast,-0.544457877636764,0.0,0.2171283513307571
19,hydroxyurea,ADM hydrochloride,DB01005,DB00445,ACH-000019,breast,-9.34966608909081,0.0,0.0193780716508626
20,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000019,breast,-17.17602827839,0.0,0.130192294716835
21,docetaxel,ADM hydrochloride,DB01248,DB00445,ACH-000019,breast,-0.446038362077989,0.0,0.1093601882457733
22,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-000019,breast,-13.0570657706716,0.0,0.2212264984846115
23,Pralatrexate,ADM hydrochloride,DB06813,DB00445,ACH-000019,breast,-0.240932728126693,0.0,0.0545040629804134
24,CHEMBL17639,ADM hydrochloride,DB00242,DB00445,ACH-000090,prostate,-4.55823993772273,0.0,0.0265656504780054
25,5-Fluoro-2'-deoxyuridine,ADM hydrochloride,DB00322,DB00445,ACH-000090,prostate,-7.6352180980173,0.0,0.0817981511354446
26,ADM hydrochloride,NSC256439,DB00445,DB01177,ACH-000090,prostate,-2.06834634162605,0.0,0.2627948224544525
27,Retinoic acid,ADM hydrochloride,DB00523,DB00445,ACH-000090,prostate,-10.8641066211098,0.0,0.0678107216954231
28,Tamoxifen citrate,ADM hydrochloride,DB00675,DB00445,ACH-000090,prostate,-6.63491507096486,0.0,0.0199400335550308
29,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000090,prostate,-2.39580270307869,0.0,0.0845983549952507
30,docetaxel,ADM hydrochloride,DB01248,DB00445,ACH-000090,prostate,-2.7157572388355,0.0,0.4275181591510772
31,Dasatinib,ADM hydrochloride,DB01254,DB00445,ACH-000090,prostate,2.10446814163919,1.0,0.506646990776062
32,Dasatinib,Vemurafenib,DB01254,DB08881,ACH-000304,skin,22.62259248,1.0,0.9037967920303344
33,Belinostat,Vemurafenib,DB05015,DB08881,ACH-000304,skin,20.96423708,1.0,0.3583497703075409
34,Zoledronic acid,ADM hydrochloride,DB00399,DB00445,ACH-000768,breast,-8.48494051959853,0.0,0.0070850574411451
35,122111-05-1,ADM hydrochloride,DB00441,DB00445,ACH-000768,breast,-3.47973532663533,0.0,0.0053700124844908
36,celecoxib,ADM hydrochloride,DB00482,DB00445,ACH-000768,breast,-38.0148314307158,0.0,0.0123494351282715
37,Retinoic acid,ADM hydrochloride,DB00523,DB00445,ACH-000768,breast,-29.9842966977193,0.0,0.009250795468688
38,letrozole,ADM hydrochloride,DB01006,DB00445,ACH-000768,breast,-15.5336706556833,0.0,0.0216134320944547
39,Romidepsin,ADM hydrochloride,DB06176,DB00445,ACH-000768,breast,-0.687108032255257,0.0,0.0385786332190036
40,Sorafenib,NSC-127716,DB00398,DB01262,ACH-001190,skin,9.39490856951479,1.0,0.8769712448120117
41,NSC733504,ADM hydrochloride,DB01590,DB00445,ACH-001190,skin,1.26648772665175,1.0,0.9309561848640442
42,Nilotinib,ADM hydrochloride,DB04868,DB00445,ACH-001190,skin,-4.63435629411055,0.0,0.0672269836068153
43,Pazopanib hydrochloride,Lenalidomide,DB06589,DB00480,ACH-001190,skin,-4.03825576006386,0.0,0.1339842081069946
44,Crizotinib,Lenalidomide,DB08865,DB00480,ACH-001190,skin,-1.48135594377614,0.0,0.0931008905172348
45,Crizotinib,Erlotinib hydrochloride,DB08865,DB00530,ACH-001190,skin,0.333242478822768,1.0,0.6266589164733887
46,Ruxolitinib,Sorafenib,DB08877,DB00398,ACH-001190,skin,-19.8608418389896,0.0,0.0084634153172373
47,Ruxolitinib,Erlotinib hydrochloride,DB08877,DB00530,ACH-001190,skin,4.2017355400046,1.0,0.8662950396537781
48,Ruxolitinib,Vepesid J,DB08877,DB00773,ACH-001190,skin,-14.5266776306322,0.0,0.0170644540339708
49,Ruxolitinib,Nilotinib,DB08877,DB04868,ACH-001190,skin,1.12680083555095,1.0,0.0527301095426082
50,Ruxolitinib,Vismodegib,DB08877,DB08828,ACH-001190,skin,-0.661560526326286,0.0,0.1808841526508331
51,vinorelbine,Deforolimus,DB00361,DB06233,ACH-000219,skin,-7.29643626028798,0.0,0.5593263506889343
52,vinorelbine,Veliparib,DB00361,DB07232,ACH-000219,skin,-37.7850091419346,0.0,0.122318223118782
53,dexamethasone,Sorafenib,DB00443,DB00398,ACH-000219,skin,-5.27207157251066,0.0,0.0230311416089534
54,doxorubicin,Veliparib,DB00445,DB07232,ACH-000219,skin,-31.5086376318759,0.0,0.2543306946754455
55,doxorubicin,Niraparib,DB00445,DB11793,ACH-000219,skin,-6.62194129045384,0.0,0.1234743744134903
56,cyclophosphamide,Sorafenib,DB00531,DB00398,ACH-000219,skin,-2.81863407251066,0.0,0.0435832329094409
57,cyclophosphamide,Dasatinib,DB00531,DB01254,ACH-000219,skin,-41.839378348061,0.0,0.0007904988597147
58,5-Fluorouracil,Veliparib,DB00544,DB07232,ACH-000219,skin,-26.97861655761,0.0,0.4640565812587738
59,methotrexate,Niraparib,DB00563,DB11793,ACH-000219,skin,-2.14654902712458,0.0,0.0783138647675514
60,vinblastine,Bortezomib,DB00570,DB00188,ACH-000219,skin,-4.83217996081594,0.0,0.3728368878364563
61,vinblastine,Erlotinib,DB00570,DB00530,ACH-000219,skin,5.50065127690758,1.0,0.5639543533325195
62,vinblastine,Lapatinib,DB00570,DB01259,ACH-000219,skin,-25.6245188837939,0.0,0.3387662470340729
63,vinblastine,Vorinostat,DB00570,DB02546,ACH-000219,skin,-5.27557112663266,0.0,0.5009030699729919
64,vinblastine,Niraparib,DB00570,DB11793,ACH-000219,skin,-1.0703094629966,0.0,0.4475512206554413
