,Drug1,Drug2,Drug1_ID,Drug2_ID,DepMap_ID,Tissue,Actuals,Proba_deepsynergy_preuer
0,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000491,Colon,1.0,0.4095994830131531
1,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000196,Breast,0.0,0.7077059149742126
2,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000857,Breast,1.0,0.8080143928527832
3,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000998,Colon,0.0,0.6741414666175842
4,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000258,Breast,1.0,0.7520872354507446
5,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000019,Breast,0.0,0.6460994482040405
6,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000352,Breast,1.0,0.5266715288162231
7,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000927,Breast,0.0,0.5654280781745911
8,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000148,Breast,1.0,0.6576234698295593
9,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000643,Breast,1.0,0.8147834539413452
10,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000935,Colon,0.0,0.7400684952735901
11,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000859,Breast,0.0,0.7474011778831482
12,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000117,Breast,0.0,0.5625981092453003
13,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000876,Breast,0.0,0.3522838950157165
14,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000963,Colon,0.0,0.7158735394477844
15,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000381,Colon,0.0,0.8002301454544067
16,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000856,Breast,1.0,0.5558517575263977
17,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000147,Breast,1.0,0.5918598771095276
18,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000223,Breast,1.0,0.6972112655639648
19,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000955,Colon,0.0,0.6721654534339905
20,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000554,Breast,0.0,0.5746289491653442
21,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000651,Colon,1.0,0.6152718663215637
22,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000849,Breast,1.0,0.6299492716789246
23,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000969,Colon,0.0,0.4262526631355285
24,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000621,Breast,0.0,0.8792539238929749
25,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000910,Breast,1.0,0.7850460410118103
26,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000999,Colon,0.0,0.3494878709316253
27,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000400,Colon,0.0,0.7192963361740112
28,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000668,Breast,0.0,0.6655225157737732
29,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000470,Colon,0.0,0.5800433158874512
30,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000421,Colon,1.0,0.8196614384651184
31,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000934,Breast,1.0,0.544830322265625
32,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000252,Colon,0.0,0.7432452440261841
33,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000360,Colon,0.0,0.6978568434715271
34,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000926,Colon,0.0,0.7074782848358154
35,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000970,Colon,0.0,0.4401792287826538
36,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000403,Colon,0.0,0.5386682748794556
37,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000565,Colon,0.0,0.7736555337905884
38,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000943,Colon,0.0,0.7345412373542786
39,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000902,Breast,0.0,0.6277719736099243
40,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000501,Colon,0.0,0.6403196454048157
41,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000350,Colon,0.0,0.6845362782478333
42,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000699,Breast,0.0,0.8472681641578674
43,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000997,Colon,0.0,0.4879155457019806
44,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000950,Colon,0.0,0.8258687853813171
45,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000783,Breast,1.0,0.6466813683509827
46,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000374,Breast,0.0,0.6818006038665771
47,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000624,Breast,1.0,0.8254010081291199
48,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000818,Breast,0.0,0.3856446743011474
49,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000971,Colon,1.0,0.5090450644493103
50,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000573,Breast,0.0,0.8218721151351929
51,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000711,Breast,1.0,0.4483768045902252
52,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000768,Breast,1.0,0.7140090465545654
53,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000277,Breast,0.0,0.2786958515644073
54,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000111,Breast,0.0,0.6964792013168335
55,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000349,Breast,1.0,0.3788459599018097
56,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000957,Colon,0.0,0.4937132000923157
57,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000722,Colon,0.0,0.7821410298347473
58,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000828,Breast,0.0,0.4240506291389465
59,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000009,Colon,0.0,0.8434562683105469
60,Navitoclax,Camptothecin,DB12340,DB04690,ACH-001819,Breast,0.0,0.6464586853981018
61,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000755,Breast,0.0,0.6320073008537292
62,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000288,Breast,0.0,0.6279953122138977
63,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000989,Colon,0.0,0.4281042218208313
64,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000985,Colon,1.0,0.5236214995384216
65,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000236,Colon,0.0,0.6550323367118835
66,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000552,Colon,1.0,0.6287020444869995
67,Navitoclax,Camptothecin,DB12340,DB04690,ACH-001820,Breast,1.0,0.3828800916671753
68,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000958,Colon,0.0,0.8635073900222778
69,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000212,Breast,1.0,0.5617082118988037
70,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000276,Breast,1.0,0.8579599261283875
71,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000991,Colon,0.0,0.6410874128341675
72,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000007,Colon,1.0,0.6360040307044983
73,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000249,Colon,1.0,0.8085345029830933
74,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000248,Breast,0.0,0.8080472946166992
75,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000986,Colon,0.0,0.741569459438324
76,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000536,Breast,0.0,0.8318796753883362
77,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000930,Breast,0.0,0.6559661626815796
78,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000680,Colon,0.0,0.690096914768219
79,Navitoclax,Camptothecin,DB12340,DB04690,ACH-001345,Colon,0.0,0.4257494509220123
80,Navitoclax,Camptothecin,DB12340,DB04690,ACH-000330,Breast,1.0,0.5110015869140625
81,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000491,Colon,0.0,0.1258335560560226
82,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000998,Colon,0.0,0.3573756814002991
83,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000935,Colon,0.0,0.4575007855892181
84,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000963,Colon,0.0,0.3393124938011169
85,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000381,Colon,0.0,0.5348480939865112
86,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000955,Colon,0.0,0.3528747856616974
87,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000651,Colon,0.0,0.203963354229927
88,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000969,Colon,0.0,0.1480836272239685
89,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000999,Colon,0.0,0.0888890475034713
90,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000400,Colon,0.0,0.4484928846359253
91,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000470,Colon,0.0,0.2065245956182479
92,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000421,Colon,0.0,0.6301230788230896
93,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000252,Colon,0.0,0.4734894335269928
94,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000360,Colon,0.0,0.3973990082740783
95,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000926,Colon,0.0,0.4255940318107605
96,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000970,Colon,0.0,0.1292552947998047
97,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000403,Colon,0.0,0.1406097114086151
98,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000565,Colon,0.0,0.5138978362083435
99,BMS-754807,Camptothecin,DB15399,DB04690,ACH-000943,Colon,0.0,0.3970783352851867
